"id","language_code","average_rating","description","num_pages","publication_day","publication_month","publication_year","isbn13","url","image_url","ratings_count","title","title_without_series","price","availability","dimensions","discount_percentage","item_weight","format_id","publisher_id","author_name","book_id","genre_id"
"469112","eng","3","Addie Downs and Valerie Adler were eight when they first met and decided to be best friends forever. But, in the wake of tragedy and betrayal during their teenage years, everything changed. Val went on to fame and fortune. Addie stayed behind in their small Midwestern town. Destiny, however, had more in store for these two. And when, twenty-five years later, Val shows up at Addie's front door with blood on her coat and terror on her face, it is the beginning of a wild adventure for two women joined by love and history who find strength together that they could not find alone.","368","14","7","2009","9780743294294","https://www.goodreads.com/book/show/6066819-best-friends-forever","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","51184","Best Friends Forever","Best Friends Forever","47","1050","6.9 x 13.09 x 0.66 inches","0.27","1.76","1","1","Jennifer Weiner","1","41"
"469124","en-GB","4","Humans of New York meets Porn for Women in this collection of candid photos, clever captions, and hilarious hashtags about one of the most important subjects of our time: hot dudes reading. Based on the viral Instagram account of the same name, Hot Dudes Reading takes its readers on a ride through all five boroughs of New York City, with each section covering a different subway line. Using their expert photography skills (covert iPhone shots) and journalistic ethics (#NoKindles), the authors capture the most beautiful bibliophiles in all of New York-and take a few detours to interview some of the most popular hot dudes from the early days of the Instagram account. Fun, irreverent, and wittily-observed, this book is tailor-made for book lovers in search of their own happy endings-and those who just want to get lost between the covers for a while.","208","26","4","2016","9781501127533","https://www.goodreads.com/book/show/27220739-hot-dudes-reading","https://images.gr-assets.com/books/1461521159i/27220739.jpg","67","Hot Dudes Reading","Hot Dudes Reading","77.71","1498","5.49 x 7.82 x 2.17 inches","0.66","1.16","1","1","Hot Dudes Reading","2","9"
"469138","eng","3","In this riveting and richly drawn novel from ""one of the master storytellers of historical fiction"" (New York Times bestseller Beatriz Williams), a talented young artist flees New York for Paris after one of her scandalous drawings reveals a dark secret--and triggers a terrible tragedy.\nIn the wake of a dark and brutal World War, the glitz and glamour of 1925 Manhattan shine like a beacon for the high society set, which is desperate to keep their gaze firmly fixed to the future. But Delphine Duplessi sees more than most. At a time in her career when she could easily be unknown and penniless, like so many of her classmates from L'Ecole de Beaux Arts, in America she has gained notoriety for her stunning ""shadow portraits"" that frequently expose her subjects' most scandalous secrets--for better or for worse. Most nights Delphine doesn't mind that her gift has become mere entertainment--a party trick--for the fashionable crowd. Though her ancestor La Lune, the legendary sixteenth-century courtesan and--like Delphine--a witch, might have thought differently.\nThen, on a snowy night in February, in a penthouse high above Fifth Avenue, Delphine's mystical talent leads to a tragedy between two brothers. Horrified, she renounces her gift.\nDevastated and disconsolate, Delphine returns to her old life in the south of France where Picasso, Matisse, and the Fitzgeralds are summering. There, Delphine is thrust into recapturing the past. First by her charismatic twin brother and business manager Sebastian in his attempts to cajole her back to work and into co-dependence, then by the world famous opera singer Emma Calve, who is obsessed with the centuries-old Book of Abraham, written by the fourteenth-century alchemist Nicolas Flamel. And finally by her ex-lover Mathieu, who is determined to lure her back into his arms, unaware of the danger that had led Delphine to flee Paris for New York five years before.\nTrapped in an ancient chateau where hidden knowledge lurks in the shadows, Delphine questions and in many ways rejects what and who she loves the most--her art, her magick, her family, her brother, and Mathieu--as she tries to finally accept them as the gifts they are and to shed her fear of loving and living with her eyes wide open.","368","18","7","2017","9781476778129","https://www.goodreads.com/book/show/32620363-the-library-of-light-and-shadow","https://images.gr-assets.com/books/1482112784i/32620363.jpg","378","The Library of Light and Shadow (Daughters of La Lune #3)","The Library of Light and Shadow (Daughters of La Lune #3)","48.51","851","9.99 x 11.15 x 2.69 inches","0.87","1.55","1","1","M.J. Rose","3","31"
"469140","eng","3","Award-winning author of ""Under the Feet of Jesus,"" Helena Maria Viramontes offers a profoundly gritty portrait of everyday life in L.A. in this lyrically muscular, artfully crafted novel.In the barrio of East Los Angeles, a group of unbreakable young women struggle to find their way through the turbulent urban landscape of the 1960s. Androgynous Turtle is a homeless gang member. Ana devotes herself to a mentally ill brother. Ermila is a teenager poised between childhood and politicalconsciousness. And Tranquilina, the daughter of missionaries, finds hope in faith. In prose that is potent and street tough, Viramontes has choreographed a tragic dance of death and rebirth.Julia Alvarez has called Viramontes ""one of the important multicultural voices of American literature."" ""Their Dogs Came with Them"" further proves the depth and talent of this essential author.\nHelena Maria Viramontes is the acclaimed author of ""The Moths and Other Stories"" and ""Under the Feet of Jesus,"" a novel; and the coeditor, with Maria Herrera-Sobek, of two collections: ""Chicana (W)Rites: On Word and Film"" and ""Chicana Creativity and Criticism."" She is the recipient of the 2006 Luis Leal Award and the John Dos Passos Award for Literature, and her short stories and essays have been widely anthologized and adopted for classroom use and university study. Viramontes lives in Ithaca, New York, where she is a professor in the Department of English at Cornell University.","328","3","4","2007","9780743287661","https://www.goodreads.com/book/show/348543.Their_Dogs_Came_with_Them","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","226","Their Dogs Came with Them","Their Dogs Came with Them","68.09","1720","5.54 x 10.44 x 0.96 inches","0.56","2.45","1","1","Helena Maria Viramontes","4","1"
"469143","eng","3","Amidst the strange, silent aftermath of World War II, a widow, a poet, and a doctor search for lasting peace and fresh beginnings in this internationally acclaimed, award-winning novel.\nWhen Anikka Lachlan's husband, Mac, is killed in a railway accident, she is offered--and accepts--a job at the Railway Institute's library and searches there for some solace in her unexpectedly new life. But in Thirroul, in 1948, she's not the only person trying to chase dreams through books. There's Roy McKinnon, who found poetry in the mess of war, but who has now lost his words and his hope. There's Frank Draper, trapped by the guilt of those his medical treatment and care failed on their first day of freedom. All three struggle to find their own peace, and their own new story.\nBut along with the firming of this triangle of friendship and a sense of lives inching towards renewal come other extremities--and misunderstandings. In the end, love and freedom can have unexpected ways of expressing themselves.\nThe Railwayman's Wifeexplores the power of beginnings and endings, and how hard it can sometimes be to tell them apart. Most of all, it celebrates love in all its forms, and the beauty of discovering that loving someone can be as extraordinary as being loved yourself.","288","5","4","2016","9781501112171","https://www.goodreads.com/book/show/25814228-the-railwayman-s-wife","https://images.gr-assets.com/books/1461315127i/25814228.jpg","861","The Railwayman's Wife","The Railwayman's Wife","59.43","709","7.68 x 9.89 x 2.62 inches","0.19","2.15","1","1","Ashley Hay","5","14"
"469158","eng","4","A foundling, an old book of dark fairy tales, a secret garden, an aristocratic family, a love denied, and a mystery. The Forgotten Gardenis a captivating, atmospheric and compulsively readable story of the past, secrets, family and memory from the international best-selling author Kate Morton.\nCassandra is lost, alone and grieving. Her much loved grandmother, Nell, has just died and Cassandra, her life already shaken by a tragic accident ten years ago, feels like she has lost everything dear to her. But an unexpected and mysterious bequest from Nell turns Cassandra's life upside down and ends up challenging everything she thought she knew about herself and her family.\nInheriting a book of dark and intriguing fairytales written by Eliza Makepeace--the Victorian authoress who disappeared mysteriously in the early twentieth century--Cassandra takes her courage in both hands to follow in the footsteps of Nell on a quest to find out the truth about their history, their family and their past; little knowing that in the process, she will also discover a new life for herself.","552","7","4","2009","9781416550549","https://www.goodreads.com/book/show/4107909-the-forgotten-garden","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","3115","The Forgotten Garden","The Forgotten Garden","87.93","248","7.15 x 14.92 x 2.09 inches","0.09","2.19","1","1","Kate Morton","6","41"
"469167","eng","3","""If I had known...what giving birth was to cost me, would I have dared to fall pregnant?\nYes, yes. A thousand times, yes.\n""\nAccalaimed novelist Susan Johnson found, at age thirty-five, that her arms began to feel ""empty."" Soon her desire to have a baby became overwhelming. She had no inkling then what motherhood would cost her -- or give her. But as she went on to experience pregnancy and birth, and their impact on her marriage, her health, and her heart, she recorded it all in a black-and-red notebook. Here, Susan Johnson takes that raw, potentially wrenching material and creates an inspirational work of autobiography.\nIn a hauntingly lovely account, Johnson portrays a woman transformed by motherhood, and a writer forever changed by a widening chasm of experience. Simple acts such as getting her newborn to breastfeed prove unexpectedly difficult. The husband she adores becomes a sparring partner, their newly purchased home a disaster, her time to write nonexistent. Then, just when she believes she may be getting her life together, she becomes pregnant again.\nSoon ecstasy jostles against bewilderment, rage, and despair when she develops a rare complication of childbirth. Facing major surgery, Susan calls herself ""a one-woman catastrophe, a small ruined country."" She is also going to bed at night planning what she will write in the morning, burning to get words on paper.\nThe mesmerizing narrative she created is ""A Better Woman,"" a chronicle of love and courage, by turns poetic and searingly graphic. It should be required reading for every woman hungry to give birth -- and every mother yearning to have her deepest feeling heard.","272","9","4","2002","9780743432962","https://www.goodreads.com/book/show/1655582.A_Better_Woman","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","44","A Better Woman: A Memoir of Motherhood","A Better Woman: A Memoir of Motherhood","76.65","1979","9.91 x 12.4 x 0.86 inches","0.7","2.01","1","1","Susan  Johnson","7","41"
"469174","eng","4","Pat LaFrieda, the third generation butcher and owner of America's premier meatpacking business, presents the ultimate book of everything meat, with more than seventy-five mouthwatering recipes for beef, pork, lamb, veal, and poultry.\nFor true meat lovers, a beautifully prepared cut of beef, pork, lamb, veal, or poultry is not just the center of the meal, it is the reason for eating. No one understands meat's seductive hold on our palates better than America's premier butcher, Pat LaFrieda. In Meat: Everything You Need to Know, he passionately explains the best and most flavorful cuts to purchase (some of them surprisingly inexpensive or unknown) and shares delicious recipes and meticulous techniques, all with the knowledge that comes from a fourth generation butcher. If you have ever wondered what makes the meat in America's finest restaurants so delectable, LaFrieda--the butcher to the country's greatest chefs--has the answers, and the philosophy behind it.\nIn seventy-five recipes--some of them decades-old LaFrieda family favorites, some from New York City's best restaurateurs, including Lidia Bastianich, Josh Capon, Mike Toscano, and Jimmy Bradley--the special characteristics of each type of meat comes into exquisite focus. Pat's signature meat selections have inspired famous chefs, and now Meat brings home cooks the opportunity to make similar mouthwatering recipes including multiple LaFrieda Custom Burger Blends, Whole Shank Osso Bucco, Tuscan Fried Chicken with Lemon, Crown Pork Roast with Pineapple Bread Stuffing, Frenched Chop with Red Onion Soubise, Beef Wellington with Mushroom Cream Sauce, and Chipotle-Braised Tomahawk Short Ribs, along with many more.\nStep-by-step photographs make tricky operations like butterflying a veal chop or tying a crown roast easy even for beginners; beautiful double-page photographic diagrams show more clearly than any previous book where different cuts come from on the animal; and advice on necessary equipment, butcher's notes, and glorious full-color photographs of the dishes complete this magnificent and comprehensive feast for the senses.\nThroughout the pages of Meat, Pat LaFrieda's interwoven tales of life in the meatpacking business and heartwarming personal reminiscences celebrate his family's century of devotion to their calling and are a tribute to a veritable New York City institution. Pat's reverence and passion for his subject both teach and inspire.","256","2","9","2014","9781476725994","https://www.goodreads.com/book/show/18144080-meat","https://images.gr-assets.com/books/1409522431i/18144080.jpg","105","Meat: Everything You Need To Know","Meat: Everything You Need To Know","44.96","1846","8.02 x 10.38 x 0.64 inches","0.52","2.26","1","1","Pat LaFrieda","8","25"
"469177","eng","3","America's foremost chronicler of the .01 % and bestselling author of 740 Parkreveals the social drama and absorbing business saga of Manhattan's record-setting address.\nIn real estate-obsessed New York, no new building has captured the city's imagination--or as many of its richest residents--as Fifteen Central Park West.\nIn House of Outrageous Fortune, America's foremost chronicler of the upper crust, journalist and bestselling author Michael Gross, turns his gimlet eye on the new-money wonderland that's sprung up on the southwest rim of Central Park. Mixing an absorbing business epic with hilarious social comedy, Gross creates a dishy expose of today's wealthiest and most famous. This colorful story recounts the recordsetting building's inspired genesis, costly construction, and the flashy international lifestyle it has brought to a once benighted and socially declasse Manhattan neighborhood.\nWith two concierge-staffed lobbies, a walnut-lined library, a lavish screening room, a private sixty-seat restaurant offering residents room service, a health club complete with a seventy-foot swimming pool, and penthouses that cost almost $100 million, Fifteen is the most outrageously successful, insanely expensive, titanically tycoon-stuffed real estate development of the twenty-first century. And any building that's home to such unimaginable wealth and heavyweight egos--its cast of characters includes Denzel Washington, Sting, Alex Rodriguez, Norman Lear, NASCAR's Jeff Gordon, hedge fund heads Daniel Loeb and Daniel Och, Russian and Chinese oligarchs, and top executives of Citibank, JPMorgan Chase, AIG, Disney, Google, and Yahoo!, among many more--will be chock-full of jaw-dropping excess.\nGross won unprecedented access to the people behind this instantly legendary building, including the scions of the fabled Zeckendorf real estate dynasty; their financial backers, Goldman Sachs and Israeli billionaire Eyal Ofer; and their ""starchitect,"" Robert A. M. Stern. Then he drilled past its limestone facade to ferret out the stories Fifteen's fathers and its residents don't want told.\nMore than just an apartment building, 15CPW represents a massive paradigm shift in the lifestyle of New York's rich and famous--and is a bellwether of the city's changing social and financial landscape. With its dazzling detail, House of Outrageous Fortuneis a sweeping history of those changes, and it pulls open wide the gilded walls of Fifteen to reveal the private lives of that .01 percent.","416","11","3","2014","9781451666199","https://www.goodreads.com/book/show/18144084-house-of-outrageous-fortune","https://images.gr-assets.com/books/1387766242i/18144084.jpg","235","House of Outrageous Fortune: Fifteen Central Park West, the World’s Most Powerful Address","House of Outrageous Fortune: Fifteen Central Park West, the World’s Most Powerful Address","26.29","129","6.17 x 7.85 x 2.77 inches","0.31","0.54","1","1","Michael    Gross","9","18"
"469188","en-US","3","The acclaimed #1 ""New York Times"" bestselling author presents a spellbinding tale of a mother's tragic loss and one man's last chance at gaining salvation.Can we save ourselves, or do we rely on others to do it? Is what we believe always the truth?\nOne moment June Nealon was happily looking forward to years full of laughter and adventure with her family, and the next, she was staring into a future that was as empty as her heart. Now her life is a waiting game. Waiting for time to heal her wounds, waiting for justice. In short, waiting for a miracle to happen.\nFor Shay Bourne, life holds no more surprises. The world has given him nothing, and he has nothing to offer the world. In a heartbeat, though, something happens that changes everything for him. Now, he has one last chance for salvation, and it lies with June's eleven-year-old daughter, Claire. But between Shay and Claire stretches an ocean of bitter regrets, past crimes, and the rage of a mother who has lost her child.\nWould you give up your vengeance against someone you hate if it meant saving someone you love? Would you want your dreams to come true if it meant granting your enemy's dying wish?\nOnce again, Jodi Picoult mesmerizes and enthralls readers with this story of redemption, justice, and love.","448","4","3","2008","9780743496742","https://www.goodreads.com/book/show/1609451.Change_of_Heart","https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png","87426","Change of Heart","Change of Heart","19.77","1033","7.78 x 11.17 x 1.29 inches","0.13","1.18","1","1","Jodi Picoult","10","24"
